Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link,
S1952033831,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,40,100,Tournament,2,3.6,https://www.fanduel.com/entry/ENCNAQHDR,
S1952033822,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,35,100,Tournament,2,3.6,https://www.fanduel.com/entry/EOEHZOADN,
S1952033811,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,35,100,Tournament,2,3.6,https://www.fanduel.com/entry/AQATXHLYX,
S1951883249,nba,1/9/20,$11K Thu NBA Block (Single Entry),$60k,294.7,,1336,6547,Tournament,2,4,https://www.fanduel.com/entry/FDRLZAZRY,
S1951883168,nba,1/9/20,$8K Thu NBA Swat (3 Entries Max),$60k,284.2,,3221,9523,Tournament,1,0,https://www.fanduel.com/entry/EFPVEZMWS,
S1951883163,nba,1/9/20,$8K Thu NBA Swat (3 Entries Max),$60k,279.6,,3678,9523,Tournament,1,0,https://www.fanduel.com/entry/EHFNQZWQG,
S1951883164,nba,1/9/20,$8K Thu NBA Swat (3 Entries Max),$60k,249.1,,6847,9523,Tournament,1,0,https://www.fanduel.com/entry/EGRQEIKSK,
S1951883118,nba,1/9/20,$10K Thu NBA Dribbler (Single Entry),$60k,272.5,,5071,11904,Tournament,1,0,https://www.fanduel.com/entry/EAGUDZBHU,
S1951882982,nba,1/9/20,NBA Daily Free Play,$60k,284.2,,7636,28280,Tournament,0,0,https://www.fanduel.com/entry/DDGYFCIWK,
S1951373711,nba,1/8/20,50/50 League ($1 - Top 50% Win) (Main),$60k,354.6,,44,100,Tournament,1,1.8,https://www.fanduel.com/entry/DZSXUDBRX,
S1951373655,nba,1/8/20,50/50 League ($1 - Top 50% Win) (Main),$60k,354.6,,47,100,Tournament,1,1.8,https://www.fanduel.com/entry/FAMCDGUSJ,
S1951373601,nba,1/8/20,50/50 League ($1 - Top 50% Win) (Main),$60k,354.6,,44,100,Tournament,1,1.8,https://www.fanduel.com/entry/BFNYZMEWR,
S1951373558,nba,1/8/20,50/50 League ($2 - Top 50% Win) (Main),$60k,354.6,,44,100,Tournament,2,3.6,https://www.fanduel.com/entry/EBIQFSGPP,
S1951373497,nba,1/8/20,50/50 League ($2 - Top 50% Win) (Main),$60k,354.6,,53,100,Tournament,2,0,https://www.fanduel.com/entry/DZFAHAKYF,
S1951373451,nba,1/8/20,50/50 League ($2 - Top 50% Win) (Main),$60k,354.6,,51,100,Tournament,2,0,https://www.fanduel.com/entry/EMOPMGBSF,
S1951373409,nba,1/8/20,50/50 League ($2 - Top 50% Win) (Main),$60k,354.6,,56,100,Tournament,2,0,https://www.fanduel.com/entry/ASEJUNZZX,
S1951373350,nba,1/8/20,50/50 League ($2 - Top 50% Win) (Main),$60k,354.6,,45,100,Tournament,2,3.6,https://www.fanduel.com/entry/AXNKRGPEJ,
S1951373307,nba,1/8/20,50/50 League ($2 - Top 50% Win) (Main),$60k,354.6,,45,100,Tournament,2,3.6,https://www.fanduel.com/entry/BIFMKRTNH,
S1951250379,nba,1/8/20,$5K Wed NBA Resolution Free Play,$60k,358,,1480,8641,Tournament,0,0.5,https://www.fanduel.com/entry/DKTPYSXSP,
